"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"105786";"Luxembourg";"This sparkling wine has vanilla bean, freshly baked brioche, Granny Smith apple and Bartlett pear aromas. It has a very nice mousse and flakey pie crust, lemon zest and pear flavors.";"Cuvée Brut Crémant de Luxembourg";"89";"26";"Moselle Luxembourgeoise";NA;"Jeff Jenssen";"Poll-Fabaire NV Cuvée Brut Crémant de Luxembourg Sparkling (Moselle Luxembourgeoise)";"Sparkling Blend";"Poll-Fabaire"
"75054";"Luxembourg";"Made from Auxerrois, this delightful white has heady lemon zest and grapefruit pith aromas. The flavors expand on the palate to include lemon curd, guava and mango. It finishes bright and zesty.";"Bech-Kleinmacher Naumberg Grand Premier Cru";"90";"22";"Moselle Luxembourgeoise";NA;"Jeff Jenssen";"Domaines Vinsmoselle 2014 Bech-Kleinmacher Naumberg Grand Premier Cru Auxerrois (Moselle Luxembourgeoise)";"Auxerrois";"Domaines Vinsmoselle"
"47109";"Luxembourg";"This semisweet sparkling wine has vanilla bean and orange sorbet aromas. It has a good level of bubbles and marzipan and sweet tropical fruit flavors that persist into the finish.";"Poll on Ice Crémant de Luxembourg Demi-Sec";"88";"30";"Moselle Luxembourgeoise";NA;"Jеff Jеnssеn";"Poll-Fabaire NV Poll on Ice Crémant de Luxembourg Demi-Sec Sparkling (Moselle Luxembourgeoise)";"Sparkling Blend";"Poll-Fabaire"
"47109";"Luxembourg";"This semisweet sparkling wine has vanilla bean and orange sorbet aromas. It has a good level of bubbles and marzipan and sweet tropical fruit flavors that persist into the finish.";"Poll on Ice Crémant de Luxembourg Demi-Sec";"88";"30";"Moselle Luxembourgeoise";NA;"Jeff Jenssen";"Poll-Fabaire NV Poll on Ice Crémant de Luxembourg Demi-Sec Sparkling (Moselle Luxembourgeoise)";"Sparkling Blend";"Poll-Fabaire"
"44799";"Luxembourg";"This Riesling has white floral and lemon zest aromas and lemon pith and grapefruit flavors. It's nicely balanced, with a pleasantly tart finish.";"Wormeldange Weinbour Grand Premier Cru";"88";"23";"Moselle Luxembourgeoise";NA;"Jeff Jenssen";"Domaines Vinsmoselle 2015 Wormeldange Weinbour Grand Premier Cru Riesling (Moselle Luxembourgeoise)";"Riesling";"Domaines Vinsmoselle"
"3567";"Luxembourg";"This non vintage white blend is composed of 50% Auxerrois, 40% Pinot Blanc, and 10% Pinot Gris. It has green apple and lemon pith aromas, lemon curd, apple juice and pastry flavors and a creamy finish.";"Pinot Luxembourg";"89";"16";"Moselle Luxembourgeoise";NA;"Jeff Jenssen";"Domaines Vinsmoselle NV Pinot Luxembourg White (Moselle Luxembourgeoise)";"White Blend";"Domaines Vinsmoselle"
