"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"69487";"Serbia";"This aged Riesling is medium gold colored, with pleasant aromas of lemon peel and petrol. It is round and generous on the palate, with flavors of lemon custard and green olive tapenade. The finish is long, with lingering flavors of lemon pith.";"Margus Margi";"86";"22";"Župa";NA;"Jeff Jenssen";"Budimir 2008 Margus Margi Riesling (Župa)";"Riesling";"Budimir"
"67778";"Serbia";"Made from 60% Prokupac and 40% Cabernet Sauvignon, this Serbian red blend has warm aromas of brown spices, worn saddle leather, black pepper and red fruits. It's bold on the palate, with flavors of cranberry, spice and pomegranate.";"Svb Rosa";"89";"42";"Župa";NA;"Jeff Jenssen";"Budimir 2007 Svb Rosa Red (Župa)";"Red Blend";"Budimir"
"50314";"Serbia";"This Serbian 100% Portuguiser offers scents of dried cherry, dried herbs and fresh tarragon, and follows up with tastes of red plum and dried strawberry.";NA;"86";"15";"Fruška Gora";NA;"Jeff Jenssen";"Agrina 2014 Portuguiser (Fruška Gora)";"Portuguiser";"Agrina"
"38060";"Serbia";"This 100% Tamjanika from Serbia has gooseberry, mango and white flowers leading the nose. Following that, it is soft on entry with flavors of pronounced florality, white peach and yellow peach.";"Župska";"88";"18";"Župa";NA;"Jeff Jenssen";"Budimir 2013 Župska Tamjanika (Župa)";"Tamjanika";"Budimir"
"37657";"Serbia";"White flowers, eucalyptus and a slight whiff of petrol greet the nose. In the mouth, it is all about green olive, white peach and green apple. The finish is soft and elegant.";"Margus Margi";"89";"20";"Župa";NA;"Jеff Jеnssеn";"Budimir 2009 Margus Margi Riesling (Župa)";"Riesling";"Budimir"
"28802";"Serbia";"A blend of 60% Prokupac and 40% Cabernet Sauvignon this Serbian wine smells of red cherry and blackberry. It is full bodied, while tasting of black cherry and blackberry. The finish is fruit filled with a touch of leather.";"Sub Rosa";"89";"40";"Župa";NA;"Jеff Jеnssеn";"Budimir 2009 Sub Rosa Red (Župa)";"Red Blend";"Budimir"
"22159";"Serbia";"This semi-dry red wine is garnet in color, with aromas of red cherry and red raspberry plus lifted top notes of eucalyptus and mint. In the mouth, flavors of red raspberry and black currant shine brightly before the juicy finish.";"Portuguiser";"87";"16";"Fruška Gora";NA;"Jеff Jеnssеn";"Agrina 2012 Portuguiser Blauer Portugieser (Fruška Gora)";"Blauer Portugieser";"Agrina"
"5071";"Serbia";"This white wine from Serbia has aromas of caramelized pineapple and elderflower. It is lively and energetic, with flavors of Japanese apple and ripe pineapple.";NA;"87";"26";"Pocerina";NA;"Jeff Jenssen";"Milijan Jelić 2011 Morava (Pocerina)";"Morava";"Milijan Jelić"
